"","Obs_Index","Behavior","Initiator_ID","Recipient_ID","Score","Notes","Initiator_Gender","Recipient_Gender","Initiator_Age_Group","Initiator_Age","Recipient_Age_Group","Recipient_Age","Initiator_Age_cut","Recipient_Age_cut","Initiator_To_Recipient","lumped_behavior","refined_behavior","y","init_id","recp_id","init_g","recp_g","init_age_z","recp_age_z"
"826",102,"ownership assertion","187","184","1.0",NA,"F","M","child",1,"child",8,"(0,3]","(6,9]","Younger","ownership assertion","ownership assertion_1.0",22,30,31,1,0,-1.94212181498144,1.30234985689795
"827",102,"ownership acknowledgement","184","187","0.0",NA,"M","F","child",8,"child",1,"(6,9]","(0,3]","Older","ownership acknowledgement_0.0","ownership acknowledgement_0.0",21,28,32,0,1,1.21947183731393,-1.6959430992975
"828",102,"teasing","187","229","0.5",NA,"F","M","child",1,"child",9,"(0,3]","(6,9]","Younger","teasing_0.5","teasing_0.5",49,30,44,1,0,-1.94212181498144,1.73067742206873
"829",102,"leading","229","187","0.5",NA,"M","F","child",9,"child",1,"(6,9]","(0,3]","Older","leading","leading_0.5",16,39,32,0,1,1.67112807335612,-1.6959430992975
"830",102,"verbal aggression","229","184","0.5","cursing, copulate","M","M","child",9,"child",8,"(6,9]","(6,9]","Older","verbal aggression","verbal aggression_0.5",51,39,31,0,0,1.67112807335612,1.30234985689795
"831",102,"leading","239","184","0.5",NA,"F","M","child",10,"child",8,"(9,12]","(6,9]","Older","leading","leading_0.5",16,133,31,1,0,2.12278430939832,1.30234985689795
"832",102,"following","184","229","0.0",NA,"M","M","child",8,"child",9,"(6,9]","(6,9]","Younger","following_0.0","following_0.0",7,28,44,0,0,1.21947183731393,1.73067742206873
"833",102,"leading","239","200","0.5",NA,"F","M","child",10,"child",5,"(9,12]","(3,6]","Older","leading","leading_0.5",16,133,36,1,0,2.12278430939832,0.0173671613856132
"834",102,"following","200","239","0.5",NA,"M","F","child",5,"child",10,"(3,6]","(9,12]","Younger","following","following_0.5",6,34,139,0,1,-0.135496870812659,2.15900498723951
"835",102,"leading","200","184","0.5",NA,"M","M","child",5,"child",8,"(3,6]","(6,9]","Younger","leading","leading_0.5",16,34,31,0,0,-0.135496870812659,1.30234985689795
"836",102,"following","184","200","0.5",NA,"M","M","child",8,"child",5,"(6,9]","(3,6]","Older","following","following_0.5",6,28,36,0,0,1.21947183731393,0.0173671613856132
"837",102,"physical aggression","184","229","0.5",NA,"M","M","child",8,"child",9,"(6,9]","(6,9]","Younger","Z","physical aggression_0.5",52,28,44,0,0,1.21947183731393,1.73067742206873
"838",102,"physical aggression","229","184","0.5",NA,"M","M","child",9,"child",8,"(6,9]","(6,9]","Older","Z","physical aggression_0.5",52,39,31,0,0,1.67112807335612,1.30234985689795
"839",102,"physical aggression","184","239","0.5",NA,"M","F","child",8,"child",10,"(6,9]","(9,12]","Younger","Z","physical aggression_0.5",52,28,139,0,1,1.21947183731393,2.15900498723951
"840",102,"physical aggression","239","184","0.5",NA,"F","M","child",10,"child",8,"(9,12]","(6,9]","Older","Z","physical aggression_0.5",52,133,31,1,0,2.12278430939832,1.30234985689795
"841",102,"physical aggression","184","577","0.5",NA,"M","M","child",8,"child",7,"(6,9]","(6,9]","Older","Z","physical aggression_0.5",52,28,140,0,0,1.21947183731393,0.874022291727172
"842",102,"physical aggression","577","184","0.5",NA,"M","M","child",7,"child",8,"(6,9]","(6,9]","Younger","Z","physical aggression_0.5",52,134,31,0,0,0.767815601271733,1.30234985689795
"843",102,"physical aggression","184","206","0.5",NA,"M","M","child",8,"child",5,"(6,9]","(3,6]","Older","Z","physical aggression_0.5",52,28,5,0,0,1.21947183731393,0.0173671613856132
"844",102,"scolding","205","184","0.5",NA,"F","M","child",7,"child",8,"(6,9]","(6,9]","Younger","scolding","scolding_0.5",38,68,31,1,0,0.767815601271733,1.30234985689795
