"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"z_recp_id[18,92]",-0.0896171350035334,0.975354425320667,-1.9833075,1.81430975,27896.7842954798,0.999861560195168,"-0.09 (0.975)"
"z_recp_id[18,93]",-0.0871953783260467,0.984531396789813,-1.997121,1.86873,28576.6813155164,0.999891671865737,"-0.087 (0.985)"
"z_recp_id[18,94]",0.00682722958133331,0.9811486708276,-1.9248415,1.93142475,28790.4187723512,0.999867689165111,"0.007 (0.981)"
"z_recp_id[18,95]",0.032579367826266,0.98875046800753,-1.88620475,1.9553545,29637.1171695744,0.999820737265107,"0.033 (0.989)"
"z_recp_id[18,96]",-0.0114477307913267,0.998904081656736,-1.97309925,1.95093275,29255.3017306076,0.99997867787885,"-0.011 (0.999)"
"z_recp_id[18,97]",-0.0718992269368133,0.995262203237061,-2.03839525,1.8761475,29794.8023648075,0.999863294227804,"-0.072 (0.995)"
"z_recp_id[18,98]",0.0068170480174733,0.998116028806265,-1.928669,1.96408675,29050.7724339675,0.999871436848487,"0.007 (0.998)"
"z_recp_id[18,99]",-0.179070526737313,0.98790793401524,-2.090556,1.761578,29820.5621115574,0.999919296079353,"-0.179 (0.988)"
"z_recp_id[18,100]",0.0306343537899867,0.984801822113688,-1.8893195,1.97176575,28940.1786427096,0.999870789150699,"0.031 (0.985)"
"z_recp_id[18,101]",0.0453364137066673,0.980561165114438,-1.90070425,1.975984,27448.5677840591,0.999889294620367,"0.045 (0.981)"
"z_recp_id[18,102]",0.0167282076598734,0.998080695159222,-1.94328675,2.01119,27345.6361058321,0.999830690738364,"0.017 (0.998)"
"z_recp_id[18,103]",0.136930147578853,0.976343069284456,-1.78093975,2.0593795,28198.1769788629,0.999943379188255,"0.137 (0.976)"
"z_recp_id[18,104]",-0.149428907084333,0.997391299139219,-2.1118805,1.843661,27745.0703162219,0.99985537544124,"-0.149 (0.997)"
"z_recp_id[18,105]",-0.0868329708708467,0.992257131432158,-2.03221175,1.8520465,28476.746995376,0.999867299688942,"-0.087 (0.992)"
"z_recp_id[18,106]",-0.0860559730979333,0.999437391918594,-2.02805075,1.88682025,28145.9901581853,0.999876249320676,"-0.086 (0.999)"
"z_recp_id[18,107]",-0.14112403500402,0.984349284972964,-2.08960175,1.789026,26612.4186242871,1.00003017614922,"-0.141 (0.984)"
"z_recp_id[18,108]",0.172574486912133,0.982483946174716,-1.75876425,2.0877805,25683.9372864645,0.999880748997067,"0.173 (0.982)"
"z_recp_id[18,109]",-0.113259354078887,1.00203898727121,-2.092146,1.8402245,28103.9548742101,0.999958615749494,"-0.113 (1.002)"
"z_recp_id[18,110]",0.0491276202108,0.972978307457558,-1.87055975,1.941673,27224.093944904,0.999830676050891,"0.049 (0.973)"
"z_recp_id[18,111]",0.0383131536796,0.993889570924941,-1.90148025,1.9793585,26413.4753680045,1.00009381239136,"0.038 (0.994)"
"z_recp_id[18,112]",0.1536214628196,0.993214993235133,-1.8280015,2.09991875,26231.0221895388,0.999845594715287,"0.154 (0.993)"
"z_recp_id[18,113]",-0.11368752951572,0.981615010411683,-2.01836825,1.840452,29155.4259844598,0.999823723823074,"-0.114 (0.982)"
"z_recp_id[18,114]",0.0568553300503534,1.00173652618994,-1.89417525,2.02655625,28841.2123827398,0.999875971181721,"0.057 (1.002)"
"z_recp_id[18,115]",-0.141877123503693,0.984913620535956,-2.07610925,1.8125475,27493.1693326683,1.000137663822,"-0.142 (0.985)"
"z_recp_id[18,116]",-0.0913756289237267,0.983885028212095,-2.0099905,1.82673775,29963.3017656227,0.999921480853789,"-0.091 (0.984)"
"z_recp_id[18,117]",-0.156665986254267,0.995134638204157,-2.10431625,1.81256225,23430.2807659205,0.999917377217333,"-0.157 (0.995)"
"z_recp_id[18,118]",-0.0482040767548066,1.00755386226766,-2.030483,1.91196575,25979.0774142023,0.999819331392681,"-0.048 (1.008)"
"z_recp_id[18,119]",-0.0454757847051733,0.979783049757717,-1.97976425,1.869292,25559.8637857412,1.00002612322726,"-0.045 (0.98)"
"z_recp_id[18,120]",-0.0465753963483267,0.990165146360149,-1.961591,1.91672925,29443.9342228768,0.99997130971466,"-0.047 (0.99)"
"z_recp_id[18,121]",-0.171447255088273,0.991101953461328,-2.097727,1.7862695,25461.5697045421,0.999872096385159,"-0.171 (0.991)"
"z_recp_id[18,122]",-0.0263223594576467,0.973943779888042,-1.92531525,1.89325425,25927.6842266778,0.999938520378149,"-0.026 (0.974)"
"z_recp_id[18,123]",-0.0151187742044,1.00491347683936,-2.0038235,1.95733825,30738.1753014202,0.999911877335958,"-0.015 (1.005)"
"z_recp_id[18,124]",0.0900606478462,0.985088900347358,-1.86387,2.00716475,30154.5808665957,0.999826900258292,"0.09 (0.985)"
"z_recp_id[18,125]",-0.11622502144592,0.99525336188995,-2.074665,1.8187535,25642.9900139058,0.999965158778136,"-0.116 (0.995)"
