"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"z_init_id[10,28]",0.0643481082042973,0.903016582279394,-1.72534425,1.821748,21127.3041245728,0.999933728296263,"0.064 (0.903)"
"z_init_id[10,29]",0.0216821815336896,0.98588609869517,-1.90272725,1.93261425,16847.7047386345,0.999932839995941,"0.022 (0.986)"
"z_init_id[10,30]",0.2655749489854,0.947140642407275,-1.610093,2.10954175,16057.9293588059,0.999953375916628,"0.266 (0.947)"
"z_init_id[10,31]",-0.127581112212293,0.954194532646835,-1.97788125,1.7649205,15840.5358559313,1.00017686719572,"-0.128 (0.954)"
"z_init_id[10,32]",-0.06171232903408,0.94118714117834,-1.92447475,1.779873,18492.0726647709,0.999920122384122,"-0.062 (0.941)"
"z_init_id[10,33]",-0.322354318735607,0.999917027473154,-2.27834025,1.61161325,13416.9640990539,1.00014412125741,"-0.322 (1)"
"z_init_id[10,34]",-0.101906248588249,0.996916003438756,-2.07538975,1.82760025,21836.8063287728,1.00007492307148,"-0.102 (0.997)"
"z_init_id[10,35]",-0.374433140435973,0.9774903061994,-2.289445,1.54782525,13466.3790466994,0.999901060507258,"-0.374 (0.977)"
"z_init_id[10,36]",-0.129584043378207,0.992246435415275,-2.08444475,1.79184425,21528.6240971569,1.00013522542661,"-0.13 (0.992)"
"z_init_id[10,37]",-0.0600396299041813,0.989746793885409,-1.9868355,1.8652345,20796.9360853913,0.999880859595719,"-0.06 (0.99)"
"z_init_id[10,38]",-0.09087601444352,0.958696100791286,-1.97098175,1.75442175,19968.2977714233,0.999824982946615,"-0.091 (0.959)"
"z_init_id[10,39]",-0.117324764468733,0.943049626027612,-1.92982125,1.74167425,21808.8793177431,1.00000655749455,"-0.117 (0.943)"
"z_init_id[10,40]",0.0961045612626493,0.951289263713776,-1.780621,1.93964875,19737.5455123448,0.999922142143,"0.096 (0.951)"
"z_init_id[10,41]",0.0489788186476,0.959082686377533,-1.82166275,1.936832,14032.8872845637,1.00012151201751,"0.049 (0.959)"
"z_init_id[10,42]",0.00389480283293337,0.984320716743327,-1.9081275,1.9181015,17678.8229558753,1.00007438513353,"0.004 (0.984)"
"z_init_id[10,43]",-0.28149343117878,0.972925036964188,-2.15448425,1.642994,13756.8015550812,1.00028165892065,"-0.281 (0.973)"
"z_init_id[10,44]",-0.04491892580084,0.978212064644203,-1.97312075,1.8602645,23799.8095600575,0.999855526320906,"-0.045 (0.978)"
"z_init_id[10,45]",0.15810892753392,0.990108000768516,-1.77469525,2.09933625,21323.2037216465,0.999879986185817,"0.158 (0.99)"
"z_init_id[10,46]",0.0904057454717533,0.925518545711831,-1.7431905,1.89793325,17121.7277246758,1.00004051621808,"0.09 (0.926)"
"z_init_id[10,47]",-0.219824780721933,1.01208270337237,-2.206531,1.7425605,16143.7067356696,1.0000430357111,"-0.22 (1.012)"
"z_init_id[10,48]",-0.0698441577110567,0.989779930418651,-1.99929975,1.87102275,22076.8881886756,0.999947837401671,"-0.07 (0.99)"
"z_init_id[10,49]",-0.18271082269806,1.00514185119403,-2.11554925,1.79730625,14329.8003178098,0.999898616990455,"-0.183 (1.005)"
"z_init_id[10,50]",0.00441600103292001,1.05562345919893,-2.07801925,2.08147775,14088.5414209366,1.00000704521454,"0.004 (1.056)"
"z_init_id[10,51]",0.1689096831504,1.00016911824251,-1.80496025,2.1368425,22436.2468051667,0.999925332385211,"0.169 (1)"
"z_init_id[10,52]",-0.06756202519444,0.986555133301862,-1.99812625,1.856785,23696.4642857678,0.999905671787346,"-0.068 (0.987)"
"z_init_id[10,53]",0.124807039271417,0.934275741423157,-1.751557,1.9347515,21329.4235281812,0.999863575601939,"0.125 (0.934)"
"z_init_id[10,54]",-0.0690877764704134,0.948084529503347,-1.90998175,1.79422525,15103.2224919986,1.00012395506111,"-0.069 (0.948)"
"z_init_id[10,55]",-0.374668095043473,0.992376947421676,-2.3080565,1.583056,12314.7076480157,1.0001486183557,"-0.375 (0.992)"
"z_init_id[10,56]",0.173377703338627,0.916506064319834,-1.62950175,1.93340025,20568.054718088,1.00006905269566,"0.173 (0.917)"
"z_init_id[10,57]",-0.05528097479398,1.00224523303198,-2.0285135,1.8829045,16751.7496057128,0.999912263182654,"-0.055 (1.002)"
"z_init_id[10,58]",-0.0258138775562,0.946864439054469,-1.88023775,1.79228075,20119.6722955422,1.0001478301678,"-0.026 (0.947)"
"z_init_id[10,59]",-0.0170846457446666,0.979917092247455,-1.932276,1.88526075,20867.097646649,0.999908041275841,"-0.017 (0.98)"
"z_init_id[10,60]",0.0795407346676,0.971217821826575,-1.8106015,1.97124,23281.5871101283,0.999923236062675,"0.08 (0.971)"
"z_init_id[10,61]",-0.03651746967392,0.93452646186675,-1.85148275,1.78271825,19001.4716431396,0.9999348327282,"-0.037 (0.935)"
"z_init_id[10,62]",0.0678130654453667,0.953099396052253,-1.8047855,1.9207925,18065.4830177537,0.999989929932788,"0.068 (0.953)"
"z_init_id[10,63]",0.0946431155426733,0.998085212709252,-1.9008765,2.0640115,18358.073122599,0.999860928221125,"0.095 (0.998)"
"z_init_id[10,64]",0.353938533415353,0.994466144416408,-1.58926975,2.32083125,15809.4726269316,0.999947882937481,"0.354 (0.994)"
"z_init_id[10,65]",0.393270310868747,1.01401257131078,-1.6111435,2.33911575,15096.9816825648,1.00011816019331,"0.393 (1.014)"
"z_init_id[10,66]",-0.0238866505661933,0.98286844610149,-1.96052025,1.8795645,20590.1288451576,0.999905889027176,"-0.024 (0.983)"
"z_init_id[10,67]",0.0752032406441,0.957848676723054,-1.7904365,1.973928,16778.5543160862,0.99992186153658,"0.075 (0.958)"
"z_init_id[10,68]",-0.04004496375374,0.967276565229031,-1.937607,1.86439975,19299.8245059211,0.999999991198854,"-0.04 (0.967)"
"z_init_id[10,69]",0.00956148878593334,0.924008273394793,-1.794061,1.81157725,18038.7238527362,0.999850134424753,"0.01 (0.924)"
"z_init_id[10,70]",0.198012413652007,0.977498011513377,-1.71744,2.12351775,22205.7928591618,1.00001951486515,"0.198 (0.977)"
"z_init_id[10,71]",-0.122407801099347,0.977762002213203,-2.050736,1.791011,21838.1886128176,1.00010093466132,"-0.122 (0.978)"
"z_init_id[10,72]",-0.0443714355711067,0.984203520829963,-1.96544975,1.88526275,23504.0323386701,1.00007335368621,"-0.044 (0.984)"
"z_init_id[10,73]",-0.3018698088431,0.945859376875063,-2.13240475,1.55658125,15029.8563931453,0.999859856956124,"-0.302 (0.946)"
"z_init_id[10,74]",-0.0220195594709333,0.97686245923988,-1.94669775,1.8831915,19951.9044089844,0.999916515219763,"-0.022 (0.977)"
"z_init_id[10,75]",-0.00268038386992665,0.993686699819566,-1.9541675,1.931404,19741.4004874039,0.999965136078105,"-0.003 (0.994)"
"z_init_id[10,76]",-0.577636743006473,0.987651207962133,-2.474037,1.39993275,9851.179374691,1.00007921408669,"-0.578 (0.988)"
"z_init_id[10,77]",0.0650448166746867,0.9607371812153,-1.823416,1.928965,14973.8031800801,1.00040047174719,"0.065 (0.961)"
"z_init_id[10,78]",-0.13073755174796,0.965693631176238,-2.000834,1.77625925,11835.2567134759,1.00017109951335,"-0.131 (0.966)"
"z_init_id[10,79]",-0.20085967730824,0.953031009695789,-2.0677425,1.68720525,17092.5680733461,1.00000130057867,"-0.201 (0.953)"
"z_init_id[10,80]",-0.0286184197247333,0.951291870539205,-1.89768875,1.79917375,19976.3973708287,0.999831729996848,"-0.029 (0.951)"
"z_init_id[10,81]",0.277741017450887,0.965404061210937,-1.61978875,2.13796925,17843.0711989241,1.00002845082874,"0.278 (0.965)"
"z_init_id[10,82]",-0.0744371938677333,0.963582837968127,-1.98266075,1.7967225,15735.5154415163,0.999844358522016,"-0.074 (0.964)"
"z_init_id[10,83]",0.0879362153984267,0.930479742208282,-1.749733,1.9230985,19275.0724685018,0.99982184200639,"0.088 (0.93)"
"z_init_id[10,84]",0.02606281371936,0.957310672165378,-1.86166125,1.909518,19062.8175620303,1.00004242234332,"0.026 (0.957)"
"z_init_id[10,85]",-0.164900170034867,0.997813877228434,-2.1044105,1.8256445,14830.8443051387,0.999931980418961,"-0.165 (0.998)"
"z_init_id[10,86]",0.40764466986838,0.988565821941537,-1.5297205,2.31685825,13581.3875193915,1.00002814610738,"0.408 (0.989)"
"z_init_id[10,87]",-0.0301233703667134,0.965583508581095,-1.928561,1.870405,19118.6205237693,0.999873138539751,"-0.03 (0.966)"
"z_init_id[10,88]",0.100515854493753,0.949770216570779,-1.76425675,1.94073425,18640.1156983455,0.999917809695706,"0.101 (0.95)"
